"key","en","ja","zh-TW"
"activerecord.models.article","Article","記事","文章"
"activerecord.models.attached_photo","Attached Photo","写真を添付する","附加圖片"
"activerecord.models.birth_gift_rule","Customer birthday gift rules","お客様の誕生日プレゼントに関するルール","顧客生日禮規則"
"activerecord.models.blacklist_collection","Not applicable for discount group","特定のオファーを製品から除外する","商品排除指定優惠"
"activerecord.models.blog","Blog","ブログ","部落格"
"activerecord.models.bonus_mall_product_variant","Bonus Mall Product Variant","ボーナスモールアイテム","紅利商城商品"
"activerecord.models.bonus_point","Bonus Point","ボーナスルール","紅利規則"
"activerecord.models.bonus_rule","Bonus Rule","ボーナスルール","紅利規則"
"activerecord.models.bundle_discount","Bundle Discounts","赤と緑の組み合わせ割引","紅配綠多組合優惠"
"activerecord.models.bundle_discount_group","Bundle discount","赤と緑の組み合わせ","紅配綠組合"
"activerecord.models.category_campaign","Category Campaign","分類活動","分類活動"
"activerecord.models.checkout_fee_plan","Registration Referral Plan","チェックアウトリファラルプラン","註冊人推薦方案"
"activerecord.models.collection","Collection","商品グループ","商品群組"
"activerecord.models.coupon","Coupon","クーポン","優惠券"
"activerecord.models.coupon_collection","Coupon collection","クーポングループ","優惠券群組"
"activerecord.models.custom_code_url","Custom Barcode URL","カスタムコードのURL","自訂條碼網址"
"activerecord.models.custom_collection","Filter By Customization","カスタムコレクション","群組"
"activerecord.models.customer","Customer","お客様","顧客"
"activerecord.models.edm_fail","EDM Recipient Email Section","EDM送信先のメールアドレスの一部","EDM發送對象email部分"
"activerecord.models.edm_success","EDM Recipient Email","EDM送信先のメールアドレス","EDM發送對象email"
"activerecord.models.einvoice","E-invoice","電子請求書","電子發票"
"activerecord.models.eticket_special_collection","Eticket Discount","チケット割引","票券任選折扣"
"activerecord.models.eticket_special_collection_rule","Eticket Discount Rule","チケット割引ルール","票券任選折扣規則"
"activerecord.models.event_page","Event Page","イベントページ","活動頁面"
"activerecord.models.express_delivery_address","Favorite Express Delivery Address","お届け先お気に入り","快速到貨常用地址"
"activerecord.models.gift_collection_rule","Free Gifts Promotion rules","全額贈与の基準ルール","滿額贈門檻規則"
"activerecord.models.inventory_sync_group_variant","Inventory Sync Group Variant","在庫同期グループ製品","庫存同步群組商品"
"activerecord.models.limit_collection","Limit Collection","購入制限グループ","限購群組"
"activerecord.models.line_message_template","LINE Message Template","LINEメッセージテンプレート","LINE訊息樣板"
"activerecord.models.line_webhook_url","LINE Webhook External System","LINE Webhook転送システム","LINE Webhook 轉拋系統"
"activerecord.models.message_post","Customer Service QA","サポートメッセージ","客服問答"
"activerecord.models.order","Order","Order","訂單"
"activerecord.models.order_eticket","Eticket","電子チケット","電子票券"
"activerecord.models.orders_shipping_notes","Shipping Note","運送状","託運單"
"activerecord.models.page","Page","ページ","頁面"
"activerecord.models.payment","Payment","支払い情報","付款資訊"
"activerecord.models.periodic_order","Recurring order","定期注文","定期訂單"
"activerecord.models.petty_cash","Petty Cash","小遣い","零用金"
"activerecord.models.points_usage_record","Points usage record","ポイント記録","點數紀錄"
"activerecord.models.pos_message","Announcement","お知らせ","公告"
"activerecord.models.product","Product","商品","商品"
"activerecord.models.product_tag","Product Tag","製品タグ","商品標籤"
"activerecord.models.product_variant","Product Variant","商品バリアント","商品款式"
"activerecord.models.promotional_category","Promotional Category","販促品カテゴリー","促銷商品分類"
"activerecord.models.push_notification","Push Notification","プッシュ通知","推播"
"activerecord.models.redirection","Redirection","ウェブサイトのリダイレクト","網站轉址"
"activerecord.models.referral_bonus_rule","Referral Bonus Setting","リファラルボーナス設定","推薦送紅利設定"
"activerecord.models.referral_coupon_rule","Referral Coupon Setting","リファラルクーポン設定","推薦送優惠券設定"
"activerecord.models.referral_plan","Referral Plan","利益分配計画","分潤方案"
"activerecord.models.referral_third_parties","Referral Third Party","Referral Third Party","第三方分潤方案"
"activerecord.models.register_fee_plan","Registration Referral Plan","登録者リファラルプラン","註冊人推薦方案"
"activerecord.models.register_fee_plan_option","Registration Referral Plan Option","登録者リファラルプランオプション","註冊人推薦方案選項"
"activerecord.models.sales_page_variant","Subscription Style Setting","定期購読バリアント設定","定期定額款式設定"
"activerecord.models.security_config","Security Setting","セキュリティ設定","安全設置"
"activerecord.models.serial_numbers","Serial Numbers","シリアル番号","序號"
"activerecord.models.shipping_rule","Shipping Rule","物流ルール","物流規則"
"activerecord.models.shop","Shop","ショップ","商店"
"activerecord.models.shop_app_setting","Shop Mobile App Settings","ストアモバイルアプリの設定","商店手機App設定"
"activerecord.models.shop_domain","Shop Domain","ショップドメイン","商店域名"
"activerecord.models.shop_extra_setting","Additional settings","ストアの追加設定","商店額外設定"
"activerecord.models.shop_facebook","Facebook","フェイスブック","Facebook"
"activerecord.models.shop_statement","Enterprise Customer Reconciliation","企業クライアントの請求書","企業級客戶對帳"
"activerecord.models.sms_history","SMS Sending History","SMS送信先番号","簡訊發送號碼名單"
"activerecord.models.sms_template","SMS Template","SMSテンプレート","簡訊樣板"
"activerecord.models.special_collection","Buy X get Y Discount Collection","割引グループを選択","任選折扣群組"
"activerecord.models.subscribe","Subscribe","購読情報","訂閱資訊"
"activerecord.models.tag","Tag","ラベル","標籤"
"activerecord.models.theme","Theme","テーマ","主題"
"activerecord.models.user","User","ユーザー","用戶"
"activerecord.models.variant_discount_collection","Product Discount Group","単品割引グループ","單品折扣群組"
"add_on.completed_sale_logger","Manually notify %{order_origin} order has completed sale SHOP_ID:%{shop_id} ORDER_ID:%{order_id}","手動通知 %{order_origin} の注文が販売されました SHOP_ID:%{shop_id} ORDER_ID:%{order_id}","手動通知 %{order_origin}訂單已完成銷售 SHOP_ID:%{shop_id} ORDER_ID:%{order_id}"
"admin.account.about.account_status","Account Status","アカウントステータス","帳戶狀態"
"admin.account.about.actived","Actived","すでに発効している","已生效"
"admin.account.about.expired","Expired","期限切れ","已過期"
"admin.account.about.infinity_storage_size","&infin; GB left","残り &infin; GB","剩餘 &infin; GB"
"admin.account.about.next_deduction_time","The next payment date of the account","次回の口座引き落とし時期","帳戶下次扣款時間"
"admin.account.about.next_renew_plan_time","The next renewal time for the account","アカウントの次回更新日","帳戶下次需續約時間"
"admin.account.about.no_paid_expire_time","The account is currently suspended due to non-payment. Expiration time is","アカウントは現在閉鎖されており、","帳戶目前已停止繳費，到期時間為"
"admin.account.about.product_variants_used","Usage of Product Variants","製品スタイルの使用","商品款式使用量"
"admin.account.about.remain_produc_varaint_number","%{number} left","残り%{number}","剩餘 %{number} 個"
"admin.account.about.remain_storage_size","%{size} left","残り %{size}","剩餘%{size}"
"admin.account.about.shop_registered_time","Shop registration time","店舗登録時間","商店註冊時間"
"admin.account.about.storage_reach_limit","The storage capacity has been exceeded. It is recommended to upgrade your account.","容量が上限に達しました。アカウントをアップグレードすることをお勧めします","您的容量已達上限，建議您升級帳號"
"admin.account.about.storage_used","Storage Used","使用スペース","已使用空間"
"admin.account.about.trial_expire_time","Trial Plan Expiration Time","アカウントの試用期限","帳戶試用到期時間"
"admin.account.about.web_info","Website Overview","ウェブサイト情報","網站資訊"
"admin.account.about.your_shop_url","Your shop URL","あなたのストアのURL","您的商店URL"
"admin.account.cancel_apply_success","Cancellation request successful! Please wait patiently.","キャンセル申請が完了しました。しばらくお待ちください","取消申請成功!請耐心等待"
"admin.account.cancel.cancel_close","Cancel","キャンセル","取消"
"admin.account.cancel.cancel_plan_notice","CYBERBIZ is committed to providing better business tools for business owners. ""If you encounter any problems or have any feedback during use, we are more than happy to listen!
","CYBERBIZ は、より優れたビジネスツールを経営者の皆様に提供することに尽力しています。使用中に問題が発生した場合やご意見がございましたら、お気軽にお問い合わせください。
","CYBERBIZ致力於提供給老闆們更好的經營工具，若您在使用上遇到任何問題，或有任何意見，我們都很樂於傾聽！
"
"admin.account.cancel.chose_reason","Choose A Reason","原因を選択","選擇一個原因"
"admin.account.cancel.close_shop","Confirm Deletion","削除を確認","確認刪除"
"admin.account.cancel.destroy_cyberbiz_account","Are you sure you want to leave?","本当に去りたいですか?","您，真的要走嗎？"
"admin.account.cancel.plan_adjusct_notice","The plan will be adjusted on the next payment date after your confirmation.","確認後、次回のお支払い日にプランが調整されます","方案將在您確認後於下次付款日調整"
"admin.account.cancel.question_close_reason","What is the reason for closing this shop?","なぜこの店を閉めたいのですか？","您希望關閉本商店的原因？"
"admin.account.cancel.question_continue_close_shop","We sincerely invite you to let us know any shortcomings. Thank you for giving CYBERBIZ the opportunity to serve you. Can we have another chance?","弊社の至らぬ点がございましたら、ぜひお聞かせください。CYBERBIZ にご依頼いただきありがとうございました。またの機会をお待ちしています。","誠摯地邀請您告知我們不足之處，謝謝您給CYBERBIZ這個機會為您服務，再給我們一次機會好嗎"
"admin.account.cancel.question_specific_reason","The problem or feedback you have encountered: ","ご質問やご意見:","您遇到的問題或意見："
"admin.account.change","Change","変化","變更"
"admin.account.change_plan.adjust_plan_to","You will be adjusting your account to plan %{plan}","アカウントを%{plan}プランに調整します","您將調整您的帳戶到 %{plan} 方案"
"admin.account.change_plan.confirm_account_change","Please confirm that you want to change your CYBERBIZ account:","EZ アカウントに変更を加えるかどうかを確認してください:","請確認您想要變更您的架EZ帳戶:"
"admin.account.change_plan.credit_card_paid","Pay by Credit Card","クレジットカード決済","信用卡付款"
"admin.account.change_plan.credit_card_paid_notice","Credit card payment (will not be automatically charged), please renew your plan before it expires.","クレジットカード決済（自動引き落としなし）プランの有効期限が切れる前に更新してください","信用卡付款(不會自動扣款)，請在方案到期前續約"
"admin.account.change_plan.deduction_after_paid","The plan will be charged immediately after your successful payment!","お支払いが完了するとすぐに料金が引き落とされるプランです！","方案將在您付款成功後立即扣款!"
"admin.account.change_plan.main_title","CYBERBIZ","イージー","架EZ"
"admin.account.change_plan.plan_change","Change Plan","アカウントプランの変更","帳戶方案變更"
"admin.account.change_plan.plan_price","The price is %{price} dollars/month,","このプランの単価は%{price}元/月です。","此方案單價為 %{price} 元/月，"
"admin.account.change_plan.sub_title","Change Plan","アカウントプランの変更","帳戶方案變更"
"admin.account.change_plan.virtual_account_atm_transfer","Virtual account ATM transfer","バーチャル口座ATM振替","虛擬帳號ATM轉帳"
"admin.account.confirm_plan.confirm_account_change","Please confirm that you want to change your CYBERBIZ account:","EZ アカウントに変更を加えるかどうかを確認してください:","請確認您想要變更您的架EZ帳戶:"
"admin.account.confirm_plan.confirm_auto_deduction","Confirm Auto Renewal","自動引き落としを確認する","確定自動扣款"
"admin.account.confirm_plan.confirm_plan_detail","<p>You will be adjusting your account to plan %{new_plan}</p> <p>The price is %{price} dollars/month，</p> <p>Automatic deduction of %{month_fee} dollars mer month</p> <p>The plan will take effect after your confirmation!</p>
","<p>アカウントを %{new_plan} プランに調整します</p> <p>このプランの単価は %{price} 元/月です。</p> <p>毎月 %{month_fee} 元が自動的に差し引かれます</p> <p>確認後、プランが有効になります。 </p>
","<p>您將調整您的帳戶到 %{new_plan} 方案</p> <p>此方案單價為 %{price} 元/月，</p> <p>每個月自動扣款 %{month_fee} 元</p> <p>方案將在您確認後生效！</p>
"
"admin.account.confirm_plan.main_title","CYBERBIZ","イージー","架EZ"
"admin.account.confirm_plan.sub_title","Confirm Plan Change","アカウントプランの変更を確認する","確認帳戶方案變更"
"admin.account.credit_card_payment_record_not_found","You have no credit card payment records!","クレジットカードの支払い履歴がありません。","您並無信用卡付款記錄!"
"admin.account.do_not_hack_system","Do Not Hack The System","システムをハッキングしないでください","請勿hack系統"
"admin.account.ec_ip_whitelist.title","EC Whitelist","EC ホワイトリスト","EC 白名單"
"admin.account.index.add","Add","追加した","新增"
"admin.account.index.add_new_branch_store_manager","New Branch Store Manager","新しい店長を追加","新增門市管理者"
"admin.account.index.add_new_branch_store_user","New Branch Store User","新しいストアユーザーを追加する","增加新的門市用戶"
"admin.account.index.add_new_manager","New Manager","新しいマネージャーを追加","新增管理者"
"admin.account.index.add_new_user","New User","新しいユーザーを追加","增加新的用戶"
"admin.account.index.admin_panel","<i class='icon-keyboard'></i> Admin Panel","<i class='icon-keyboard'></i> バックステージパネル","<i class='icon-keyboard'></i> 後台面板"
"admin.account.index.agree","I Agree","同意します","我同意"
"admin.account.index.agree_text","( %{user} has agreed at %{agree_at}, IP Address: %{ip} )","(%{user} は %{agree_at} に同意しました、IP アドレス: %{ip})","( %{user} 於 %{agree_at} 同意，IP 位址 : %{ip} )"
"admin.account.index.agree_to_create_agent_account_1","Please confirm whether you agree to CYBERBIZ creating a administrator account for you so that we can assist you in system maintenance when you have any questions regarding system functions.","システム機能に関するご質問など、メンテナンス入力のお手伝いができるよう、CYBERBIZ が統一管理者アカウントを作成することに同意するかどうかご確認ください。","請確認是否同意由CYBERBIZ建立一統一管理者帳號，以便您提出系統功能疑問時，可協助進入維護"
"admin.account.index.agree_to_create_agent_account_2","If you do not agree, CYBERBIZ customer service will not have the authority to access your company's backend, which may limit the assistance provided during certain transactions or emergency support requests.","同意しない場合、CYBERBIZカスタマーサービスは貴社のバックエンドにアクセスできず、一部の取引や緊急支援のニーズが制限され、支援レベルに影響する可能性があります。","若未同意，CYBERBIZ客服將無權進入貴公司後台，可能於部分交易或緊急協助需求時受限，影響協助程度"
"admin.account.index.already_agree","I have agreed to「unable to restore unauthorized status, and am willing to comply with the system regulations.","「無許可のステータスには返信できない」ことに同意し、システム規則に従うことに同意します","我已經同意「無法回復未授權狀態」，並願配合系統規範"
"admin.account.index.are_you_sure","Are you sure you want to change the owner of the site to","サイトの所有者を次の者に変更してもよろしいですか？","您確定要將網站擁有者變更為"
"admin.account.index.authenticator_otp","Authenticator Verification Code","認証コード","Authenticator驗證碼"
"admin.account.index.branch_store","Branch Store","店","門市"
"admin.account.index.cancel","Cancel","キャンセル","取消"
"admin.account.index.change_account_owner","Change account owner","アカウント所有者の変更","變更帳戶所有者"
"admin.account.index.chose_one_user","Choose One User","ユーザーを選択してください","請選擇一個使用者"
"admin.account.index.close_note","Once you log out, everything in your shop will be permanently deleted.","ログアウトすると、ストアのすべてのコンテンツが完全に削除されます。","一旦您登出之後,您商店的一切將被永久刪除"
"admin.account.index.confirm","Confirm","確認する","確認"
"admin.account.index.destroy_account_link","Delete My Account(I know this is irreversible.)","アカウントを削除します（取り消しはできないことは承知しています）","刪除我的帳戶(我知道這是無法復原的)"
"admin.account.index.email","Email","電子メール","電子郵件"
"admin.account.index.enter_otp","Please enter the 6-digit verification code.","6桁の確認コードを入力してください","請輸入6位驗證碼"
"admin.account.index.is_changing_owner","Your website will replace the website owner.","あなたのウェブサイトがウェブサイトの所有者に取って代わります","您的網站將替換網站擁有者"
"admin.account.index.manager_list","Manager List","マネージャー一覧","管理者列表"
"admin.account.index.name","Name","名前","姓名"
"admin.account.index.new_uses_can_go_branch_store_manage_page","New users will be able to <strong>access</strong> <strong>your shop's management page. But they will only have branch store management access.</strong> .
","新規ユーザーはストアの管理ページに<strong>入ることができます</strong>が、ストア管理権限のみを持ちます。
","新的用戶可以 <strong>進入</strong> <strong>您商店的管理頁面，但只擁有門市管理權限</strong> .
"
"admin.account.index.new_uses_can_go_manage_page","New users will be able to <strong>access</strong> <strong>your shop's management page.</strong> .
","新しいユーザーはストアの管理ページに<strong>アクセス</strong>できます。
","新的用戶可以 <strong>進入</strong> <strong>您商店的管理頁面</strong> .
"
"admin.account.index.note_for_change_web_owner","You can transfer ownership to any other user, but you won't be able to access this page afterwards.","所有権を他のユーザーに譲渡することはできますが、その場合このページにアクセスできなくなります。
","您可以將所有權轉讓給任何其他用戶，但之後您將無法訪問此頁
"
"admin.account.index.otp_error","Verification code error","認証コードエラー","驗證碼錯誤"
"admin.account.index.pass_word_less_num","At least %{num}-digit","少なくとも%{num}コード","至少%{num}碼"
"admin.account.index.password_validation_downcase_english_character","1 lowercase letter","小文字1文字","1 個小寫字母"
"admin.account.index.password_validation_includes","The password must contain at least:","パスワードには少なくとも","密碼必須至少包含"
"admin.account.index.password_validation_length_limit","%{minimum}-%{maximum} characters long","長さは%{minimum}-%{maximum}文字です","長度為 %{minimum}-%{maximum} 個字元"
"admin.account.index.password_validation_number","1 number","1 番号","1 個數字"
"admin.account.index.password_validation_special_character","1 special character (e.g.,","1 つの特殊記号 (例: # ? ! &)","1 個特殊符號（例如：# ? ! &）"
"admin.account.index.password_validation_uppercase_english_character","1 uppercase letter","大文字1文字","1 個大寫字母"
"admin.account.index.personal_info","User Account Settings","ウェブサイトの権限","網站權限"
"admin.account.index.please_complete_2fa","For the security of your account, please complete the verification process.","アカウントのセキュリティのため、認証を完了してください。","為了您的帳號安全，請完成驗證操作。"
"admin.account.index.please_select_branch_store","Please Select Branch Store","店舗を選択してください","請選擇門市"
"admin.account.index.question_change_web_owner","Change website owner?","サイトの所有者を変更する必要がありますか?","需要改變網站擁有者?"
"admin.account.index.questionmark","?","?","嗎？"
"admin.account.index.safety_authentication","Safety Authentication","セキュリティ検証","安全驗證"
"admin.account.index.submit","Submit","提出する","提交"
"admin.account.index.want_close_shop","Close Your Shop?","お店を閉めようと考えていますか?","想要關閉您的商店?"
"admin.account.index.your_account_info","User Account Settings","ウェブサイトの権限","網站權限"
"admin.account.otp_on_off.close","Close","閉鎖","關閉"
"admin.account.otp_on_off.open","Open","開ける","開啟"
"admin.account.otp_on_off.user_google_opt_login","Administrator Google OTP two-step login","管理者向け Google OTP 2 段階ログイン","管理者 Google OTP 兩步驟登入"
"admin.account.payment_record_not_found","Payment Record Not Found","支払い記録がありません","您並無付款記錄"
"admin.account.paypal_pay_failed","PayPal payment failed","PayPal の支払いに失敗しました","PayPal 付款失敗"
"admin.account.paypal_pay_success","PayPal payment successful! Please wait for the system to adjust your plan.","PayPal での支払いが成功しました。システムがプランを調整するまでお待ちください。","PayPal 付款成功! 請等候系統調整您的方案"
"admin.account.period_detail_not_found","No recurring service is in use","通常の支払いサービスを利用していない","並沒有使用定期定額服務"
"admin.account.period_plan.can_change_anytime","You can cancel the remaining times anytime.","次のセッションはいつでもキャンセルできます","您隨時都可以取消之後的次數"
"admin.account.period_plan.confirm_account_renew","Please confirm if you would like to renew your CYBERBIZ account","EZアカウントを更新するかどうかを確認してください","請確認您想要續約您的架EZ帳戶"
"admin.account.period_plan.credit_card_paid","Pay by Credit Card","クレジットカード決済","信用卡付款"
"admin.account.period_plan.dealine","Your current usage period is until: %{date}","現在の使用期間は: %{date} です","您目前使用期限為: %{date}"
"admin.account.period_plan.expired","Expired","期限切れ","已過期"
"admin.account.period_plan.extend_days_this_time","This plan will extend your usage period by %{days} days!","この実装プランにより、使用期間が %{days} 日間延長されます。","本次執行方案將延長您的使用期限%{days}天!"
"admin.account.period_plan.extend_to_date","The new expiration date will be: %{date}","拡張後: %{date}","延長後為: %{date}"
"admin.account.period_plan.main_title","CYBERBIZ","イージー","架EZ"
"admin.account.period_plan.plan_month_price","This plan is priced at %{price} dollars/month， <br> Every %{period} months is a period,  %{total_price} per installment is required.，
","このプランの単価は%{price}元/月です。<br> 各%{period}月が1期間となり、各期間に%{total_price}元の支払いが必要です。
","此方案單價為 %{price} 元/月， <br> 每 %{period} 個月為一期，每期須繳 %{total_price} 元，
"
"admin.account.period_plan.renew_plan_by_period","You will renew your %{plan} plan with a recurring payment.","%{plan} プランは定期支払いで更新されます","您將使用定期定額續約您的 %{plan} 方案"
"admin.account.period_plan.sub_title","Renew Plan","アカウントプランの更新","帳戶方案續約"
"admin.account.period_plan.total_execute_times","Total of %{times} executions (including this one) can_change_anytime: You can cancel future appointments anytime. extend_days_this_time: The current plan will extend your usage period by %{days} days!","合計 %{times} 回実行されました (今回を含む)","總共執行 %{times} 次(含本次)"
"admin.account.plan_already_paid","You have made the payment!","お支払い完了です！","您已付款!"
"admin.account.plan_modal.change_plan_modal.cancel","Cancel","キャンセル","取消"
"admin.account.plan_modal.change_plan_modal.change_plan_hint","<p class=""pitaya-pink little-hint"">Your plan is currently valid until: <span class=""deadline""></span></p> <p class=""pitaya-pink little-hint"">Select credit card payment. Automatic payment will not be deducted upon the expiration of the plan. Please renew before the plan expires.</p>
","<p class=""pitaya-pink little-hint"">現在のプランの有効期間は: <span class=""deadline""></span></p> <p class=""pitaya-pink little-hint"">クレジットカード決済を選択してください。プランの有効期限が切れても、料金は自動的に引き落とされません。プランの有効期限が切れる前に契約を更新してください。</p>
","<p class=""pitaya-pink little-hint"">您的方案目前使用期限為: <span class=""deadline""></span></p> <p class=""pitaya-pink little-hint"">選擇信用卡付款，方案到期時不會自動扣款，請在方案到期前續約</p>
"
"admin.account.plan_modal.change_plan_modal.confirm","Confirm","確認する","確認"
"admin.account.plan_modal.change_plan_modal.plan_content","<p>You will upgrade to  <span class=""pitaya-blue plan-name""></span> plan <span class=""pitaya-blue"">＄<span class=""plan-unit-price""></span></span>（tax included）</p> <p>This upgrade will incur a fee of<span class=""pitaya-blue"">＄<span class=""plan-price""></span> dollars</span>（tax included）</p> <p>After the upgrade is completed, if you need to renew, please go back to the account plan page and select the renewal plan.</p>
","<p><span class=""pitaya-blue plan-name""></span>プランにアップグレードされます。このプランの単価は<span class=""pitaya-blue"">＄<span class=""plan-unit-price""></span></span>（税込）です。</p> <p>アップグレード料金は<span class=""pitaya-blue"">＄<span class=""plan-price""></span>元</span>（税込）です。</p> <p>アップグレード完了後、更新が必要な場合は、アカウントプランページに戻り、更新プランを選択してください。 </p>
","<p>您將升級為 <span class=""pitaya-blue plan-name""></span> 方案，此方案單價為<span class=""pitaya-blue"">＄<span class=""plan-unit-price""></span></span>（含稅）</p> <p>此次升級費用為<span class=""pitaya-blue"">＄<span class=""plan-price""></span> 元</span>（含稅）</p> <p>升級完成後若需要續約，請回到帳戶方案頁選取續約方案。</p>
"
"admin.account.plan_modal.change_plan_modal.title","Upgrade Plan","アカウントプランのアップグレード","帳戶方案升級"
"admin.account.plan_modal.period_plan_modal.cancel","Cancel","キャンセル","取消"
"admin.account.plan_modal.period_plan_modal.pay","Paid By Credit Card","クレジットカード決済","信用卡付款"
"admin.account.plan_modal.period_plan_modal.period_plan_hint","<p class=""pitaya-pink little-hint"">Your plan is currently valid until: <span class=""origin-deadline""></span></p> <p class=""pitaya-pink little-hint"">The plan will be extended to: <span class=""extended-deadline""></span></p>
","<p class=""pitaya-pink little-hint"">現在、お客様のプランは <span class=""origin-deadline""></span></p> まで有効です。 <p class=""pitaya-pink little-hint"">プランは <span class=""extended-deadline""></span></p> まで延長されます。
","<p class=""pitaya-pink little-hint"">您的方案目前使用期限為: <span class=""origin-deadline""></span></p> <p class=""pitaya-pink little-hint"">方案將延長至: <span class=""extended-deadline""></span></p>
"
"admin.account.plan_modal.period_plan_modal.plan_content","<p>You are going to auto-renew your <span class=""pitaya-blue plan-name""></span> plan</p> <p>Plan Expiration Date: <span class=""pitaya-blue plan-period""></span></p> <p>Plan Price: <span class=""pitaya-blue"">＄<span class=""plan-unit-price""></span>（tax included）</span></p> <p>Expense On Every Period<span class=""pitaya-blue"">＄<span class=""total-price""></span> dollars（tax included）Every<span class=""period-months""></span> months is a period. Need to pay ＄<span class=""total-price""></span> dollars for every period. Total revewal periods will be <span class=""period""></span> times(include this time)．</span></p>
","<p><span class=""pitaya-blue plan-name""></span> プランは自動的に更新されます。</p> <p>プランの有効期間: <span class=""pitaya-blue plan-period""></span></p> <p>プランの単価: <span class=""pitaya-blue"">＄<span class=""plan-unit-price""></span> (税込)</span></p> <p>期間あたりの料金: <span class=""pitaya-blue"">＄<span class=""total-price""></span> 元 (税込) <span class=""period-months""></span> か月の期間ごとに、期間ごとに ＄<span class=""total-price""></span> 元の料金が発生し、合計 <span class=""period""></span> 回の更新 (今回の更新を含む) が可能になります。 </span></p>
","<p>您將自動續約您的 <span class=""pitaya-blue plan-name""></span> 方案</p> <p>方案使用期限：<span class=""pitaya-blue plan-period""></span></p> <p>方案單價：<span class=""pitaya-blue"">＄<span class=""plan-unit-price""></span>（含稅）</span></p> <p>每期費用：<span class=""pitaya-blue"">＄<span class=""total-price""></span> 元（含稅）每<span class=""period-months""></span>個月為一期，每期須繳＄<span class=""total-price""></span> 元，總共續約 <span class=""period""></span> 次(含本次)．</span></p>
"
"admin.account.plan_modal.period_plan_modal.title","Automatic Renewal for Current Account Plan","アカウントプランの自動更新","帳戶方案自動續約"
"admin.account.plan_modal.renew_plan_modal.cancel","Cancel","キャンセル","取消"
"admin.account.plan_modal.renew_plan_modal.confirm","Confirm","確認する","確認"
"admin.account.plan_modal.renew_plan_modal.plan_content","<p>You are renewing your <span class=""pitaya-blue plan-name""></span> plan </p> <p>The price is <span class=""pitaya-blue"">＄<span class=""plan-unit-price""></span>（tax included）</span></p> <p>Total：<span class=""pitaya-blue"">＄<span class=""total-price""></span> dollars（tax included）</span></p>
","<p><span class=""pitaya-blue plan-name""></span> プランを更新します</p> <p>プラン単価: <span class=""pitaya-blue"">＄<span class=""plan-unit-price""></span> (税込)</span></p> <p>合計: <span class=""pitaya-blue"">＄<span class=""total-price""></span> 元 (税込)</span></p>
","<p>您將續約您的 <span class=""pitaya-blue plan-name""></span> 方案</p> <p>方案單價：<span class=""pitaya-blue"">＄<span class=""plan-unit-price""></span>（含稅）</span></p> <p>總計：<span class=""pitaya-blue"">＄<span class=""total-price""></span> 元（含稅）</span></p>
"
"admin.account.plan_modal.renew_plan_modal.renew_plan_hint","<p class=""pitaya-pink little-hint"">Your plan is currently valid until: <span class=""origin-deadline""></span></p> <p class=""pitaya-pink little-hint effective-date"" style=""display:none"">The new effective date of the plan is: <span class=""effective-date""></span></p> <p class=""pitaya-pink little-hint"">The plan will be extended to: <span class=""extended-deadline""></span></p>
","<p class=""pitaya-pink little-hint"">お客様のプランは現在、次の日付まで有効です: <span class=""origin-deadline""></span></p> <p class=""pitaya-pink little-hint effective-date"" style=""display:none"">お客様のプランの新しい有効日は次のとおりです: <span class=""effective-date""></span></p> <p class=""pitaya-pink little-hint"">お客様のプランは次の日付まで延長されます: <span class=""extended-deadline""></span></p>
","<p class=""pitaya-pink little-hint"">您的方案目前使用期限為: <span class=""origin-deadline""></span></p> <p class=""pitaya-pink little-hint effective-date"" style=""display:none"">方案新的生效日期為: <span class=""effective-date""></span></p> <p class=""pitaya-pink little-hint"">方案將延長至: <span class=""extended-deadline""></span></p>
"
"admin.account.plan_modal.renew_plan_modal.title","Renew Plan","アカウントプランの更新","帳戶方案續約"
"admin.account.plan_modal.renew_ssl_modal.cancel","Cancel","キャンセル","取消"
"admin.account.plan_modal.renew_ssl_modal.confirm","Confirm","確認する","確認"
"admin.account.plan_modal.renew_ssl_modal.renew_ssl_hint","<p class=""pitaya-pink little-hint"">Your plan is currently valid until: <span class=""ssl-deadline""></span></p> <p class=""pitaya-pink little-hint"">By choosing to pay with credit card, the plan will not be automatically renewed upon expiration. Please renew the plan before it expires.</p>
","<p class=""pitaya-pink little-hint"">現在のプランの有効期間は: <span class=""ssl-deadline""></span></p> <p class=""pitaya-pink little-hint"">クレジットカード決済を選択してください。プランの有効期限が切れても、料金は自動的に引き落とされません。プランの有効期限が切れる前に契約を更新してください。</p>
","<p class=""pitaya-pink little-hint"">您的方案目前使用期限為: <span class=""ssl-deadline""></span></p> <p class=""pitaya-pink little-hint"">選擇信用卡付款，方案到期時不會自動扣款，請在方案到期前續約</p>
"
